time,O2,CH4,OH,H2O,O3_col,S8AER_col,T_time,O2_flux,ri_flux,change_during_glaciations
208137600000000.03,1.407213455538911e-07,2.003025720972844e-05,3.988382745521139e-14,0.0068623341429935245,6271560631211.123,47430519022005.38,290.0,2000000000000.0,21999999999.999992,True
211291200000000.0,1.4072197985358055e-07,2.0030099325041342e-05,3.9884046902456977e-14,0.00686233414304,6271516125582.688,47428585954421.7,290.0,2000000000000.0,21999999999.999992,True
214444800000000.03,1.4072101471453492e-07,2.0030349068554975e-05,3.9883701919774486e-14,0.0068623341429695905,6271572324872.578,47431546275336.17,290.0,2000000000000.0,21999999999.999992,True
217598400000000.0,1.4072128203496666e-07,2.003027098196279e-05,3.98838111182076e-14,0.006862334142989657,6271563200450.64,47430714926910.44,290.0,2000000000000.0,21999999999.999992,True
220752000000000.0,1.4072097986248676e-07,2.0030350145511198e-05,3.988369984139698e-14,0.006862334142967089,6271582506458.336,47431641879011.83,290.0,2000000000000.0,21999999999.999992,True
223905600000000.03,1.4072098522200766e-07,2.0030348780406665e-05,3.9883703188183645e-14,0.0068623341429678575,6271580213608.163,47431627196989.805,290.0,2000000000000.0,21999999999.999992,True
227059200000000.0,1.4072052760530794e-07,2.0030465619544958e-05,3.988354073258604e-14,0.006862334142934233,6271609835701.382,47433027980137.97,290.0,2000000000000.0,21999999999.999992,True
230212800000000.03,1.407205170334693e-07,2.0030468617046466e-05,3.988353784620515e-14,0.006862334142933784,6271608507243.335,47433061092623.52,290.0,2000000000000.0,21999999999.999992,True
233366400000000.0,1.4072139035540766e-07,2.003023833686111e-05,3.988385406513576e-14,0.006862334142997109,6271564075914.693,47430371501747.555,290.0,2000000000000.0,21999999999.999992,True
236520000000000.0,1.4072099396349691e-07,2.0030352881811564e-05,3.9883696781183055e-14,0.006862334142968154,6271574784517.055,47431612445155.305,290.0,2000000000000.0,21999999999.999992,True
239673600000000.03,1.407212313936914e-07,2.0030283899398483e-05,3.988378910638165e-14,0.006862334142984881,6271571914064.964,47430862229102.195,290.0,2000000000000.0,21999999999.999992,True
242827200000000.0,1.4072105361485117e-07,2.0030330628027004e-05,3.988372694876926e-14,0.006862334142972517,6271578406445.113,47431413848574.36,290.0,2000000000000.0,21999999999.999992,True
245980800000000.03,1.4072107673688252e-07,2.0030325763744667e-05,3.988373395534748e-14,0.006862334142974252,6271575633224.585,47431344170047.68,290.0,2000000000000.0,21999999999.999992,True
249134400000000.0,1.407210963447949e-07,2.0030319822939196e-05,3.98837428191038e-14,0.006862334142975875,6271574408379.128,47431285893151.42,290.0,2000000000000.0,21999999999.999992,True
252288000000000.0,1.4072120731625835e-07,2.003029002924552e-05,3.988378510596953e-14,0.006862334142984286,6271567440283.732,47430941832719.41,290.0,2000000000000.0,21999999999.999992,True
255441600000000.0,1.40721188900773e-07,2.003029674205084e-05,3.9883773344767536e-14,0.00686233414298225,6271570026778.733,47430999488305.01,290.0,2000000000000.0,21999999999.999992,True
258595200000000.03,1.4072077382639804e-07,2.003040704951142e-05,3.9883622416804675e-14,0.0068623341429522675,6271589647464.952,47432280869370.66,290.0,2000000000000.0,21999999999.999992,True
261748800000000.03,1.407211763567962e-07,2.0030299412665305e-05,3.988377032969222e-14,0.006862334142981523,6271570398350.617,47431036738110.99,290.0,2000000000000.0,21999999999.999992,True
264902400000000.0,1.4072076586914808e-07,2.00304079553973e-05,3.9883620674539695e-14,0.006862334142951585,6271591840373.449,47432302726246.79,290.0,2000000000000.0,21999999999.999992,True
268056000000000.0,1.4072120489952433e-07,2.0030292377119897e-05,3.9883779859824956e-14,0.006862334142983549,6271568655280.737,47430950310386.75,290.0,2000000000000.0,21999999999.999992,True
271209600000000.0,1.4072137476093672e-07,2.0030248671298427e-05,3.988384001794015e-14,0.006862334142995881,6271558813696.154,47430429554956.59,290.0,2000000000000.0,21999999999.999992,True
274363200000000.03,1.4072120129643093e-07,2.003029442326714e-05,3.988377551746495e-14,0.006862334142982864,6271569857672.238,47430961306432.88,290.0,2000000000000.0,21999999999.999992,True
277516800000000.03,1.407212152656108e-07,2.003028981155952e-05,3.988378318076403e-14,0.006862334142984245,6271568238537.523,47430918614957.17,290.0,2000000000000.0,21999999999.999992,True
280670400000000.0,1.407210349550676e-07,2.0030336057701553e-05,3.98837189048911e-14,0.0068623341429709965,6271579669761.438,47431470570819.07,290.0,2000000000000.0,21999999999.999992,True
283824000000000.0,1.4072120253716736e-07,2.0030293129808e-05,3.9883778691979854e-14,0.00686233414298334,6271568833368.858,47430957728279.53,290.0,2000000000000.0,21999999999.999992,True
286977600000000.0,1.4072106199590896e-07,2.003032955278318e-05,3.988372840682064e-14,0.0068623341429730955,6271576936081.191,47431390649918.49,290.0,2000000000000.0,21999999999.999992,True
